WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Hdlbp	1047	1338	883	4772	3997	4164
Slco4c1	0	0	0	1	0	0
Gin1	35	114	44	249	219	142
D1Ertd622e	65	118	42	317	266	272
Pam	14	3	1	10	1	13
Pign	63	182	90	422	412	497
Bcl2	8	8	8	309	77	68
Phlpp1	89	79	50	365	293	452
Gm20753	0	0	4	0	0	0
Ptpn4	37	77	35	216	195	263
Ccdc93	137	182	113	585	516	578
Slc35f5	13	16	4	72	11	70
Nckap5	0	0	0	0	1	0
Tmem163	26	20	16	94	92	58
Mgat5	30	31	33	132	68	158
Ccnt2	150	320	139	937	618	737
Lct	6	7	4	11	19	15
Zranb3	59	163	53	316	313	292
R3hdm1	213	286	132	1159	630	1057
Fcamr	3	4	1	47	9	22
Cd55b	0	0	0	4	0	0
C4bp-ps1	0	0	0	2	0	0
Srgap2	186	188	111	751	501	661
Rassf5	303	326	220	1179	1029	1287
Cntn2	21	14	11	55	98	138
Nfasc	0	1	4	0	0	27
Tmcc2	3	5	10	4	1	47
Plekha6	1	0	2	7	1	1
Tmem183a	345	431	219	1110	1288	1171
Ptpn7	587	585	485	2255	2644	2550
Klhl12	109	138	87	372	523	390
Ppp1r12b	16	14	7	59	41	55
Kdm5b	13	8	11	59	35	50
Lgr6	6	1	2	0	17	15
Ipo9	428	516	300	1519	1329	1582
Nav1	6	35	15	6	11	211
Ptprc	2132	6601	2663	15864	14601	16697
Atp6v1g3	0	0	0	10	10	5
Nek7	550	1530	581	2815	3371	3395
Dennd1b	237	399	218	1516	1151	1512
Cfh	0	2	0	7	2	0
Uchl5	163	428	152	943	829	746
Hmcn1	0	0	0	2	0	0
Swt1	37	200	58	321	206	253
Edem3	173	321	120	1008	881	1048
Fam129a	27	55	29	116	109	325
Rgl1	28	84	96	41	32	456
Ncf2	622	877	636	1378	3237	2190
Lamc1	125	113	64	511	261	502
Dhx9	1324	2222	920	6669	6194	7175
Cacna1e	45	65	28	555	183	323
Xpr1	173	284	136	527	742	996
Acbd6	249	247	221	671	786	647
Ralgps2	594	1255	555	2531	2905	2976
Abl2	358	373	182	1193	1270	1485
Axdnd1	1	0	0	0	2	1
Sec16b	21	24	13	66	167	145
2810025M15Rik	33	39	20	218	390	298
Rfwd2	89	139	69	347	397	346
Tnr	0	0	0	0	0	1
Rc3h1	207	328	137	841	739	1019
Suco	108	322	117	785	783	828
Dnm3	3	2	3	373	20	47
2810442N19Rik	0	0	0	2	0	1
BC055324	131	213	62	497	445	433
Nme7	75	188	79	258	363	302
Kifap3	62	98	72	172	272	288
Dcaf6	43	67	46	163	163	250
Cd247	2	2	0	6	12	10
Pou2f1	136	257	98	1020	771	1293
Mgst3	8	12	13	29	77	46
Uck2	282	262	176	916	776	661
Pbx1	25	21	13	289	201	208
Olfml2b	0	1	1	0	2	1
Nos1ap	0	1	0	0	1	6
Atf6	230	402	180	1705	1478	1515
Ddr2	0	1	0	3	1	2
F11r	15	6	12	14	8	70
Cd48	431	1445	578	2406	3279	2271
Cd244	1	16	11	12	22	158
Pcp4l1	0	0	1	0	0	0
Kcnj10	28	127	101	38	37	918
Copa	1629	2355	1395	5135	6181	5997
Igsf9	3	0	4	23	15	19
Ifi203	16	107	32	716	248	259
Spta1	0	0	1	0	0	8
Fmn2	8	3	5	39	20	49
Kmo	281	791	305	1652	2191	1391
Exo1	220	278	135	714	841	678
Sdccag8	76	231	98	520	687	516
1700016C15Rik	0	0	0	0	1	0
Kif26b	1	2	1	14	3	5
Cnst	463	409	244	1860	1496	1631
Cdc42bpa	3	1	0	19	11	5
Ephx1	106	200	232	376	332	564
Nvl	247	430	194	1335	1167	1090
Acbd3	162	213	107	784	655	704
Enah	2	0	4	30	22	15
Fbxo28	116	168	85	408	460	443
Disp1	38	29	25	117	89	83
Susd4	3	0	2	0	1	0
Rab3gap2	280	327	193	987	1074	1132
Bpnt1	129	133	94	331	517	500
Mark1	1	0	0	0	0	0
Spata17	0	0	3	0	0	0
Gpatch2	94	123	64	451	359	424
Kctd3	184	187	96	486	608	483
Cenpf	282	702	249	2389	1601	1322
Vash2	2	0	2	3	1	3
Batf3	0	7	4	2	1	26
Lpgat1	421	578	312	2101	1546	1646
Ppp2r5a	752	763	487	1824	2711	2621
Traf5	523	559	402	849	1784	980
Kcnh1	6	0	3	1	1	0
Hhat	0	0	1	5	5	7
Lamb3	11	9	4	24	34	46
Traf3ip3	544	856	497	1713	2436	1736
Plxna2	8	0	1	4	2	2
Cr2	414	1702	584	2701	4344	4338
Sox17	0	0	0	0	0	1
Mrpl15	408	633	405	1082	1423	1037
Lypla1	298	839	286	1182	1525	2005
Tcea1	307	964	332	1158	1610	1353
Rb1cc1	73	277	99	466	648	614
Pcmtd1	81	324	113	1021	747	978
Rrs1	328	212	120	911	946	898
3110035E14Rik	0	2	0	6	9	10
Vcpip1	132	248	104	959	741	931
1700034P13Rik	1	2	1	4	5	7
Snord87	0	0	0	4	1	2
Mcmdc2	0	1	0	4	2	0
Snhg6	78	188	93	396	467	275
Cops5	440	1019	410	1837	2428	1610
Tram1	703	1543	578	2907	3177	3704
Xkr9	0	1	0	0	0	1
Gm5523	18	12	5	68	78	69
Msc	0	0	0	30	0	3
Trpa1	0	0	0	1	17	18
Terf1	92	196	86	637	526	391
Rpl7	4758	12812	4631	20321	30333	18560
Ube2w	74	278	75	316	452	433
Ly96	20	78	31	119	135	169
Tmem70	77	108	66	453	378	388
Gdap1	0	0	0	1	2	0
Pi15	0	0	0	0	1	0
Crispld1	0	0	0	3	0	0
Mcm3	3290	2956	2240	7446	9110	8576
Il17f	0	0	0	1	0	0
Paqr8	5	0	0	14	1	2
Tram2	27	25	11	101	49	61
Tmem14a	0	1	1	5	8	13
Gm4956	0	0	0	0	0	1
Khdc1c	0	0	0	0	0	1
Ogfrl1	108	264	83	778	848	1052
B3gat2	0	3	2	10	6	8
Fam135a	8	40	8	238	76	60
Sdhaf4	54	163	74	283	346	241
Lmbrd1	508	978	432	1610	2209	2310
Gm597	2	0	0	0	0	0
Phf3	201	407	188	1137	1059	950
Ptp4a1	7	18	1	34	19	38
1700001G17Rik	1	2	0	3	7	3
Zfp451	42	95	43	386	287	286
Rab23	22	40	15	144	124	151
Bag2	120	109	62	228	296	251
Bend6	0	1	0	1	0	18
Gm15455	0	1	2	2	4	4
Imp4	455	492	382	1098	1615	1262
Ccdc115	161	145	99	534	732	624
Amer3	0	0	0	0	0	4
Prss39	2	1	1	6	4	1
Fam168b	1633	1352	834	4478	4811	5423
Arhgef4	6	5	5	33	8	29
Hs6st1	300	206	207	636	705	1056
Neurl3	676	855	821	1089	2444	1961
Fer1l5	14	9	10	36	36	32
Arid5a	117	71	82	768	268	287
Kansl3	310	317	209	889	873	913
Sema4c	1	2	0	2	1	9
Cnnm4	116	69	82	196	236	273
Ankrd39	34	45	35	112	105	81
Ankrd23	20	29	10	105	52	58
Cnnm3	78	67	49	195	131	191
Cox5b	785	1090	735	2104	3124	1797
Zap70	5	2	1	10	30	31
4933424G06Rik	0	1	1	0	3	0
Unc50	142	134	106	456	510	462
Coa5	514	744	362	1741	1765	2116
Tsga10	1	16	4	31	33	16
